Original Topic,Old Approach,Transformed Title,Transformation Strategy
카리나 논란,이슈 직후형,GD가 카리나 논란 잠재운 방법,논란을 직접 다루지 않고 타 인물(대선배)의 대처/관계성으로 2차 가공
장원영 광고,단순 리뷰형,사실 가짜였던 장원영 광고의 비밀,광고의 비하인드/소품 등 '비밀 폭로' 프레임으로 변환
워터밤 여돌,무대 직캠형,워터밤으로 떡상한 여돌이 '사라진 이유',이슈 이후의 근황/결과를 추적하는 '산업 영향형'으로 변환
아이돌 메이크업,뷰티 팁형,아이돌들이 메이크업보다 신경쓰는 '이것',뻔한 뷰티 소재를 '반전(메이크업보다 중요한 것)' 요소로 비틀기
SM 신인 연습생,데뷔 소개형,에스파 때문에 힘들어진 SM 연습생들,단순 소개가 아닌 선배 그룹과의 '비교/부담감' 프레임으로 가공
음악방송 무대,무대 리뷰형,음악방송 PD들이 '벼르고 있는' 아이돌들,무대 자체보다 '업계 관계자(PD)의 시선'이라는 권위/긴장감 부여
아이돌 수면시간,일상 소개형,아이돌이 '72시간' 무수면이면 생기는 일,구체적인 숫자(72시간)와 극한 상황(무수면) 가정으로 호기심 자극
아이돌 다이어트,식단 소개형,일반인이 노력해도 아이돌처럼 안 되는 이유,단순 팁이 아닌 '일반인과의 비교/넘을 수 없는 벽' 프레임 제시
샤이니 종현,추모형,'종현 목소리' 들은 샤이니 멤버들 반응,사건 자체가 아닌 남은 멤버들의 '감정/반응'에 초점 맞추기
기획사 건물,단순 비교형,4대 기획사 과거vs현재 건물 비교,과거와 현재의 극적인 '대비'를 시각적으로 강조
